userId,top_5_name,prediction_rate
M0000017746998,"['[선우PICK]메디힐 티트리 진정 패드 100매', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', 'C10""', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml']","[0.9999959468841553, 0.9999823570251465, 0.9999583959579468, 0.9999558925628662, 0.9999423027038574]"
M0000020707121,"['딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ', '[1+1기획]페리페라 잉크블랙카라', '필리밀리 코털가위', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', 'C10""']","[0.9999997615814209, 0.9994192123413086, 0.999249279499054, 0.9978679418563843, 0.9974550604820251]"
M0000014686273,"['아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', 'C05""', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '헌터스 블랙 트러플칩 25g']","[0.9997900128364563, 0.9997621178627014, 0.9996509552001953, 0.9980930685997009, 0.9978152513504028]"
M0000017340410,"['C10""', '마요라 코피코 커피맛캔디 블리스터 32g', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '칼파제르 밀크 초콜릿150g', 'C08']","[1.0, 0.9999183416366577, 0.9998369216918945, 0.999739944934845, 0.9990677237510681]"
M0000010104447,"['필리밀리 손톱깎이 (S)', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', 'C04', '칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )', '레이즈 클래식 감자칩 42.5g']","[0.9999998807907104, 0.9999998807907104, 0.9999988079071045, 0.9997966885566711, 0.9916104674339294]"
M0000021457644,"['C07', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '로아커 미니스 믹스 15입 150g', '칼파제르 셀렉션 초콜릿150g']","[0.9999942779541016, 0.998852014541626, 0.9980689883232117, 0.9978266358375549, 0.995090126991272]"
M0000003696496,"['마요라 코피코 커피맛캔디 블리스터 32g', '에스리턴 프로틴 브라우니바 초코 50g', '고려은단 알티지 오메가3 60캡슐 (60일분)', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', 'C04']","[0.9999998807907104, 0.9999486207962036, 0.9998072981834412, 0.9996829032897949, 0.999556839466095]"
M0000010821228,"['칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', 'C07', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', '아크네스 3초 진정 패치 2종 택1']","[1.0, 0.9999586343765259, 0.9989545345306396, 0.9921808242797852, 0.9915776252746582]"
M0000003829312,"['보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )']","[0.9999444484710693, 0.9998341798782349, 0.9986440539360046, 0.9978607296943665, 0.9963387250900269]"
M0000000765412,"['아크네스 3초 진정 패치 2종 택1', 'C09', '[NEW] 무지개맨션 아이시 글로우', '필리밀리 코털가위', '[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)']","[0.9999995231628418, 0.9999980926513672, 0.9997925162315369, 0.9997637867927551, 0.9991899132728577]"
M0000015079965,"['[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', 'C04', 'C05""', 'C09']","[0.9999996423721313, 0.9999878406524658, 0.9990455508232117, 0.9939484596252441, 0.9810741543769836]"
M0000019316484,"['칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )', '바이오티 마시는 프리바이오틱스 애플소다 350ml', 'C05""', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '에뛰드 컬픽스 마스카라 ']","[0.999797523021698, 0.9995847344398499, 0.9964805245399475, 0.9742562174797058, 0.9411805868148804]"
M0000003475266,"['딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ', '[선우PICK]메디힐 티트리 진정 패드 100매', '3CE 무드레시피 매트 립 컬러', '필리밀리 코털가위', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)']","[0.9999998807907104, 0.9999934434890747, 0.9998020529747009, 0.9993933439254761, 0.998305082321167]"
M0000011361683,"['C04', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', 'C09""', '필리밀리 손톱깎이 (S)', '칼파제르 셀렉션 초콜릿150g']","[0.999996542930603, 0.9999862909317017, 0.999974250793457, 0.9999337196350098, 0.9995303153991699]"
M0000016804497,"['아크네스 3초 진정 패치 2종 택1', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', '덴티스테 민트볼 20입', 'C06""', 'C05']","[0.9999650716781616, 0.999921441078186, 0.9994433522224426, 0.9960567951202393, 0.9919202327728271]"
M0000018690709,"['C09""', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', 'C09', '아크네스 3초 진정 패치 2종 택1']","[0.9998773336410522, 0.999790370464325, 0.9948824644088745, 0.984732449054718, 0.9833168387413025]"
M0000021940402,"['C05', '로아커 미니스 믹스 15입 150g', '딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ', '히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)', '[선우PICK]메디힐 티트리 진정 패드 100매']","[0.9999991655349731, 0.9997202754020691, 0.9970266222953796, 0.9949328303337097, 0.9894605278968811]"
M0000015144655,"['[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', 'C05', '히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)', 'C11""', '3CE 무드레시피 매트 립 컬러']","[0.9999872446060181, 0.9999182224273682, 0.9998200535774231, 0.9996278285980225, 0.9976104497909546]"
M0000017881166,"['밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', 'C09""', 'C08', '칼파제르 셀렉션 초콜릿150g', '크리넥스 99.9% 항균 안심물티슈 10매']","[1.0, 0.9999830722808838, 0.9991394281387329, 0.9965686798095703, 0.9962833523750305]"
M0000004636979,"['마요라 코피코 커피맛캔디 블리스터 32g', '딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ', '에뛰드 컬픽스 마스카라 ', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)']","[1.0, 0.9999217987060547, 0.9998476505279541, 0.9883558750152588, 0.9745570421218872]"
M0000018029532,"['덴티스테 민트볼 20입', '[1+1기획]페리페라 잉크블랙카라', '아크네스 3초 진정 패치 2종 택1', '[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '필리밀리 코털가위']","[0.999997615814209, 0.9998137354850769, 0.9993556141853333, 0.9962493777275085, 0.993220329284668]"
M0000003613449,"['에스리턴 프로틴 브라우니바 초코 50g', 'C10""', '필리밀리 손톱깎이 (S)', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '칼파제르 셀렉션 초콜릿150g']","[0.9999967813491821, 0.9999884366989136, 0.9999812841415405, 0.9999293088912964, 0.9997450709342957]"
M0000003946263,"['필리밀리 코털가위', 'C06""', 'C05""', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '바이오티 마시는 프리바이오틱스 애플소다 350ml']","[1.0, 1.0, 0.9999936819076538, 0.9999903440475464, 0.9992550015449524]"
M0000002966304,"['헌터스 화이트 트러플칩 25g', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', 'C05', '크리넥스 99.9% 항균 안심물티슈 10매', '[선우PICK]메디힐 티트리 진정 패드 100매']","[0.9999853372573853, 0.9986340403556824, 0.9965961575508118, 0.9910708665847778, 0.9856233596801758]"
M0000019731890,"['아크네스 3초 진정 패치 2종 택1', '[NEW] 무지개맨션 아이시 글로우', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', 'C09', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)']","[0.9998577833175659, 0.9997583031654358, 0.9994726777076721, 0.9974457025527954, 0.9930737018585205]"
M0000014495074,"['에뛰드 컬픽스 마스카라 ', 'C11""', 'C03', '로아커 미니스 믹스 15입 150g', 'C07']","[0.9999978542327881, 0.9996023774147034, 0.9995276927947998, 0.999527096748352, 0.9990878105163574]"
M0000010202549,"['칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )', '[NEW] 무지개맨션 아이시 글로우', '로아커 미니스 믹스 15입 150g', '[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml']","[0.9999978542327881, 0.9999929666519165, 0.9999849796295166, 0.9999154806137085, 0.9998787641525269]"
M0000017828786,"['칼파제르 밀크 초콜릿150g', 'C06', '티타니아 샌드풋파일', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '[NEW] 무지개맨션 아이시 글로우']","[0.9999998807907104, 0.9997454285621643, 0.9994195699691772, 0.9973477125167847, 0.994436502456665]"
M0000004606370,"['히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)', '칼파제르 셀렉션 초콜릿150g', '로아커 미니스 믹스 15입 150g', 'C06""', 'C09']","[0.9997547268867493, 0.99063640832901, 0.9871196746826172, 0.9669086933135986, 0.9470293521881104]"
M0000013010530,"['C02', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', '마요라 코피코 커피맛캔디 블리스터 32g', '[NEW] 무지개맨션 아이시 글로우']","[0.9999810457229614, 0.9978931546211243, 0.9816604852676392, 0.9678781628608704, 0.9616383910179138]"
M0000000274173,"['[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', 'C05', 'C09""', 'C10""', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)']","[0.997223973274231, 0.9971469044685364, 0.9280883073806763, 0.8186960816383362, 0.817716121673584]"
M0000001350192,"['아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '[NEW] 무지개맨션 아이시 글로우', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', '딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ']","[0.9993482232093811, 0.9922181367874146, 0.9859331250190735, 0.9808017611503601, 0.9733440279960632]"
M0000019883628,"['C04', 'C09""', 'C06', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', 'C02']","[0.9999996423721313, 0.9999812841415405, 0.9999648332595825, 0.999536395072937, 0.999081015586853]"
M0000020567220,"['고려은단 알티지 오메가3 60캡슐 (60일분)', '[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', 'C08""']","[0.999996542930603, 0.9995726943016052, 0.9995028972625732, 0.9972866773605347, 0.9971988201141357]"
M0000014501723,"['필리밀리 손톱깎이 (S)', '[NEW] 무지개맨션 아이시 글로우', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', 'C06', '칼파제르 밀크 초콜릿150g']","[0.9999947547912598, 0.9999756813049316, 0.9998561143875122, 0.9997550845146179, 0.9991138577461243]"
